Workplace Example,Element Name,Hot Technology,In Demand
Advanced Retail Management Systems Retail Pro,Point of sale POS software,N,N
Advanced Technologies Class Act,Data base user interface and query software,N,N
Advanced Veterinary Services Ranch Vision,Enterprise resource planning ERP software,N,N
Advanced Visual Systems AVS/Express,Graphics or photo imaging software,N,N
Advanced boolean expression language ABEL,Development environment software,N,N
Advanced business application programming ABAP,Object or component oriented development software,N,N
Advanced computer simulation language ACSL,Development environment software,N,N
Advanced numerical software,Analytical or scientific software,N,N
Advanced technologies and oceanic procedures ATOP,Expert system software,N,N
Advantage Information Systems The Agency Advantage,Enterprise resource planning ERP software,N,N
Advantage Signature Marketing Group Web Master,Customer relationship management CRM software,N,N
Advantage Software Chiropractic Advantage,Medical software,N,N
Advantage Software Physical Therapy Advantage,Medical software,N,N
Advantage Software Podiatry Advantage,Medical software,N,N
Advantage Software Psych Advantage,Medical software,N,N
Advantage Software Total Eclipse,Word processing software,N,N
AdvantageLaw WinVantage,Data base user interface and query software,N,N
Advantos Systems DataTrust Enterprise,Data base user interface and query software,N,N
Advent Axys,Financial analysis software,N,N
AdviceAmerica AdvisorVision,Financial analysis software,N,N
Advisory World ICE,Financial analysis software,N,N
"Adxstudio, for Microsoft",Content workflow software,N,N
AeroHydro MultiSurf,Computer aided design CAD software,N,N
AeroPlanner,Information retrieval or search software,N,N
Aeronautical charts,Charting software,N,N
Aerotriangulation adjustment software,Map creation software,N,N
Aestiva Employee Time Clock,Time accounting software,N,N
Aestiva Purchase Order,Procurement software,N,N
AetherPalm InfusiCalc,Medical software,N,N
Afcom Datasafe Computer Services FlexiBake,Enterprise resource planning ERP software,N,N
Affiliated Computer Services ACS FIREHOUSE,Data base user interface and query software,N,N
After the Deadline,Word processing software,N,N
Ag Connections Land.db,Data base user interface and query software,N,N
Ag Leader Technology SMS Advanced,Data base user interface and query software,N,N
AgData Blue Skies Accounting,Accounting software,N,N
AgInfoLink Meat Inventory Tracking System MITS,Inventory management software,N,N
AgTerra Technologies AgTrac,Data base user interface and query software,N,N
Age progression software,Analytical or scientific software,N,N
Agency Management Systems AMS 360,Document management software,N,N
Agency Master,Enterprise resource planning ERP software,N,N
Agency Software AgencyPro,Enterprise resource planning ERP software,N,N
Agency management software,Enterprise resource planning ERP software,N,N
AgencyPro,Data base user interface and query software,N,N
Agent Business Builder,Customer relationship management CRM software,N,N
Agevo Farm Manager,Enterprise resource planning ERP software,N,N
Agile Product Lifecyle Management PLM,Enterprise resource planning ERP software,N,N
AgileView Software SmartView,Computer based training software,N,N
Agilent Advanced Design System ADS,Computer aided design CAD software,N,N
Agilent CGH Analytics,Analytical or scientific software,N,N
Agilent ChemStation,Analytical or scientific software,N,N
Agilent Technologies GeneSpring GX,Analytical or scientific software,N,N
Agiliance Compliance Manager,Compliance software,N,N
Agisoft Metashape,Analytical or scientific software,N,N
AgriSoft/CMC AgriSoft/ERP,Enterprise resource planning ERP software,N,N
Agronomic modeling software,Analytical or scientific software,N,N
Ahrefs Site Explorer,Web platform development software,N,Y
Ai Squared ZoomText,Device drivers or system software,N,N
Aipotu,Analytical or scientific software,N,N
Air dispersion modeling software,Analytical or scientific software,N,N
Air quality modeling software,Analytical or scientific software,N,N
Air-Trak Cloudberry,Mobile location based services software,N,N
AirMagnet Enterprise,Network monitoring software,N,N
AirSmith FlightPrompt,Data base user interface and query software,N,N
Aircraft noise monitoring system software,Data base user interface and query software,N,N
Aircraft regulation databases,Data base user interface and query software,N,N
Airdata,Project management software,N,N
Airline Pilots Daily Aviation Log PPC,Data base user interface and query software,N,N
Airline global distribution systems GDS software,Data base user interface and query software,N,N
Airtable,Data base user interface and query software,N,N
Aknaf ADVANTAGE Salon Software and Spa Software,Data base user interface and query software,N,N
Alara CRystalView,Analytical or scientific software,N,N
Alarm management system software,Industrial control software,N,N
Alarm system software,Facilities management software,N,N
Alcestis,Data base user interface and query software,N,N
Alchemy Systems SISTEM,Computer based training software,N,N
Aldata Warehouse Management,Materials requirements planning logistics and supply chain software,N,N
Aldelo Systems Aldelo for Restaurants Pro,Point of sale POS software,N,N
Aldus FreeHand,Graphics or photo imaging software,N,N
Alert Technologies OpsCenter,Project management software,N,N
Alerton Ascent Compass,Industrial control software,N,N
Alfresco Software Alfresco,Document management software,N,N
Algae,Analytical or scientific software,N,N
AlgoLab Raster to Vector Conversion Toolkit,Data conversion software,N,N
Algorithm Compu-Ceph,Medical software,N,N
Algorithmic language ALGOL,Development environment software,N,N
Algorithmic software,Analytical or scientific software,N,N
Alias Wavefront Design Studio,Computer aided design CAD software,N,N
Alibre Design,Computer aided design CAD software,N,N
Aline GRC,Compliance software,N,N
Aljex Inventory,Inventory management software,N,N
AllNetic Working Time Tracker,Human resources software,N,N
Allaire ColdFusion,Web platform development software,N,N
Allegro Landmark,Map creation software,N,N
Allen Bradley PanelView,Industrial control software,N,N
Allergenic diet software,Analytical or scientific software,N,N
Alliance Automotive Shop Controller,Facilities management software,N,N
Allied Financial Software Act4Advisors,Customer relationship management CRM software,N,N
Allscripts Canopy,Medical software,N,N
Allscripts EHR,Medical software,N,N
Allscripts PM,Medical software,N,N
Allscripts Payerpath,Medical software,N,N
Allscripts Professional EHR,Medical software,N,N
Allscripts Professional PM,Accounting software,N,N
Allscripts Sunrise,Medical software,N,N
Allscripts healthcare automation software,Medical software,N,N
Allstar Software Systems Kofax,Document management software,N,N
Almaris E-Learning Systems Financial Accounting Tutor,Computer based training software,N,N
Alpha Four,Data base management system software,N,N
Alpha Software Alpha Five,Data base user interface and query software,N,N
AlphaDent,Medical software,N,N
Alstom ESARAD,Analytical or scientific software,N,N
Alstom ESATAN,Analytical or scientific software,N,N
AltaPoint Data Systems AltaPoint Dental,Medical software,N,N
AltaPoint Data Systems AltaPoint Vision,Medical software,N,N
Altair Engineering MotionSolve,Analytical or scientific software,N,N
Alteer Office,Medical software,N,N
Alteer Premiere,Medical software,N,N
Altera MAX,Analytical or scientific software,N,N
Altera Quartus II,Analytical or scientific software,N,N
Altera hardware description language AHDL,Development environment software,N,N
Alteryx software,Business intelligence and data analysis software,Y,N
Altia Design,Graphical user interface development software,N,N
Altium Designer,Computer aided design CAD software,N,N
Altova MapForce,Metadata management software,N,N
Alua Software Paddock Pro,Data base user interface and query software,N,N
Amadeus Altea Reservation,Data base user interface and query software,N,N
Amadeus CRS,Data base user interface and query software,N,Y
Amazing Charts,Medical software,N,N
Amazon Data Pipeline,Data base management system software,N,N
Amazon DynamoDB,Data base management system software,Y,N
Amazon Elastic Compute Cloud EC2,Data base user interface and query software,Y,N
Amazon Elastic Container Service ECS,Application server software,N,N
Amazon Kinesis,Data base management system software,N,N
Amazon Redshift,Data base user interface and query software,Y,N
Amazon Simple Storage Service S3,Storage networking software,N,N
Amazon Web Services AWS CloudFormation,Cloud-based management software,Y,N
Amazon Web Services AWS SageMaker,Cloud-based management software,N,Y
Amazon Web Services AWS software,Data base user interface and query software,Y,N
Amber Road,Materials requirements planning logistics and supply chain software,N,N
Ambient Design ArtRage,Graphics or photo imaging software,N,N
Amcom AUTOS2000,Facilities management software,N,N
American Association of Critical Care Nurses AACN Medicopeia,Information retrieval or search software,N,N
American Data Systems PAWS Veterinary Practice Management,Medical software,N,N
American Glazing Software AGS WindowPricer,Project management software,N,N
American HealthTech Financial,Accounting software,N,N
American LegalNet USCourtForms,Information retrieval or search software,N,N
American Legalnet Smart Dockets,Calendar and scheduling software,N,N
American Legalnet eDockets,Calendar and scheduling software,N,N
American Medical Association CodeManager,Categorization or classification software,N,N
American Medical Billing Software PMA,Billing and invoicing software,N,N
American National Standards Institute ANSI C,Development environment software,N,N
American Orthodontics Compu-Ceph,Graphics or photo imaging software,N,N
American Orthodontics Photo-Eze,Graphics or photo imaging software,N,N
American Orthotic and Prosthetic Association CodingPro,Medical software,N,N
American Precision Instruments Regit,Point of sale POS software,N,N
American Printing House for the Blind Learn Keys,Device drivers or system software,N,N
American Printing House for the Blind Talking Typer,Computer based training software,N,N
American Riviera Magtax,Tax preparation software,N,N
American Sign Language ASL browser,Dictionary software,N,N
American Sign Language Browser,Data base user interface and query software,N,N
Amkai AmkaiCharts,Medical software,N,N
AmoK Translator,Foreign language software,N,N
Amortization calculation software,Accounting software,N,N
Amortization loan software,Financial analysis software,N,N
Amtec Engineering Tecplot,Graphics or photo imaging software,N,N
Anacomp CaseLogistix,Document management software,N,N
Anadigm Designer2 EDA,Analytical or scientific software,N,N
Analog Devices VisualDSP++,Development environment software,N,N
Analyse-it,Analytical or scientific software,N,N
Analysis and Visualization of Time Sequences AVTS,Analytical or scientific software,N,N
Analysis and building software,Analytical or scientific software,N,N
Analysis of Smoke Control Systems ASCOS,Analytical or scientific software,N,N
Analytical Graphics STK Expert Edition,Analytical or scientific software,N,N
Analytical software,Analytical or scientific software,N,N
Analyze,Analytical or scientific software,N,N
AnalyzerXL,Financial analysis software,N,N
Anand Systems ASI FrontDesk,Facilities management software,N,N
Anasazi Software Assessment and Treatment Plan Systems,Medical software,N,N
Anasazi Software Client Data System,Medical software,N,N
Anatomic pathology software,Medical software,N,N
AndersonBell Abstat,Analytical or scientific software,N,N
Anesthesia machine software,Medical software,N,N
Angoss KnowledgeSEEKER,Data mining software,N,N
Animal Intelligence Software Animal Intelligence,Medical software,N,N
Animal Shelter Manager,Data base user interface and query software,N,N
Animation software,Video creation and editing software,N,N
Aninoquisi MesoTRAC,Analytical or scientific software,N,N
Anisotropic Crystalline Etch Simulation ACES,Analytical or scientific software,N,N
Annuities analysis software,Financial analysis software,N,N
Anodas Software Limited Phoenix,Enterprise resource planning ERP software,N,N
Ansible software,Expert system software,Y,N
Ansoft HFSS,Analytical or scientific software,N,N
Ansoft Simplorer,Analytical or scientific software,N,N
Ansys Fluent,Analytical or scientific software,N,N
Antek HealthWare LabDAQ,Medical software,N,N
Antenna House,Desktop publishing software,N,N
AnthillPro,Development environment software,N,N
Anthropometric databases,Data base user interface and query software,N,N
Anti-Trojan software,Transaction security and virus protection software,N,N
Anti-phishing software,Transaction security and virus protection software,N,N
Anti-spyware software,Transaction security and virus protection software,N,N
Antivirus software,Transaction security and virus protection software,N,N
Anvil Studio,Music or sound editing software,N,N
Aonix Software Through Pictures,Development environment software,N,N
ApE A Plasmid Editor,Analytical or scientific software,N,N
Apache Accumulo,Data base user interface and query software,N,N
Apache Airflow,Procedure management software,Y,N
Apache Ant,Development environment software,N,N
Apache Avro,Information retrieval or search software,N,N
Apache Cassandra,Data base management system software,Y,N
Apache Continuum,Development environment software,N,N
Apache Flex,Web platform development software,N,N
Apache Flume,Data base management system software,N,N
Apache Groovy,Object or component oriented development software,N,N
Apache Gump,Development environment software,N,N
Apache HBase,Data base management system software,N,N
Apache HTTP Server,Portal server software,N,N
Apache Hadoop,Data base management system software,Y,N
Apache Hadoop YARN,Data base management system software,N,N
Apache Hive,Data base management system software,Y,N
Apache JMeter,Object or component oriented development software,N,Y
Apache Kafka,Development environment software,Y,N
Apache MXNet,Industrial control software,N,N
Apache Mahout,Expert system software,N,N
Apache Maven,Development environment software,Y,N
Apache Oozie,Data base management system software,N,N
Apache Pig,Data base management system software,N,N
Apache Solr,Data base management system software,N,N
Apache Spark,Business intelligence and data analysis software,Y,N
Apache Sqoop,Data base management system software,N,N
